国利利率					
国债					
9.42Y	160213	4.1			
9.42Y	160213	4.0975			
9.42Y	160213	4.0975			
9.42Y	160213	4.1			
9.42Y	160213	4.1			
9.42Y	160213	4.1025			
9.42Y	160213	4.105			
9.42Y	160213	4.1025			
9.42Y	160213	4.1			
9.42Y	160213	4.11			
9.42Y	160213	4.11			
9.42Y	160213	4.11			
9.42Y	160213	4.11			
9.42Y	160213	4.11			
9.42Y	160213	4.11			
9.42Y	160213	4.11			
9.42Y	160213	4.11			
9.42Y	160213	4.11			
9.42Y	160213	4.11			
9.42Y	160213	4.11			
9.42Y	160213	4.11			
9.42Y	160213	4.105			
9.42Y	160213	4.105			
9.42Y	160213	4.105			
9.42Y	160213	4.105			
9.42Y	160213	4.1025			
9.42Y	160213	4.1			
9.42Y	160213	4.1			
9.42Y	160213	4.1			
9.42Y	160213	4.1			
9.42Y	160213	4.1			
9.42Y	160213	4.1			
9.42Y	160213	4.1			
9.42Y	160213	4.1			
9.42Y	160213	4.1			
9.42Y	160213	4.0975			
9.79Y	170405	4.185			
9.79Y	170405	4.18			
					
					
					
					
