平安利率					
国债					
9.43Y	160213	4.098			
9.43Y	160213	4.0975			
9.43Y	160213	4.0975			
9.43Y	160213	4.0975			
9.43Y	160213	4.0975			
9.43Y	160213	4.0975			
9.43Y	160213	4.1			
9.43Y	160213	4.1			
9.43Y	160213	4.1			
9.43Y	160213	4.1			
9.43Y	160213	4.1			
9.43Y	160213	4.1			
9.43Y	160213	4.0975			
9.43Y	160213	4.1			
9.43Y	160213	4.1			
9.80Y	170405	4.175			
18.85Y	160205	4.35			
					
					
				
